SNO,EVENT_URL,EVENTID,EVENTNAME,LABEL,METHOD
1,https://www.meetup.com/RockyMountainAngular/events/238682321/,238682321,Angular Update: Whats New in v4 and the CLI,Talks by Domain Experts,OPENCODING
2,https://www.meetup.com/MongoDB-San-Diego-Meetup/events/246688321/,246688321,MongoDB.local SoCal event,Conferences,OPENCODING
3,https://www.meetup.com/Jozi-JUG/events/73525382/,73525382,July Jozi JUG - JRebel and LiveRebel,Talks by Domain Experts,OPENCODING
4,https://www.meetup.com/Software-Architect-Indonesia/events/236085974/,236085974,Technical Knowledge Power-Up - Security and Agile,Talks by Domain Experts,OPENCODING
5,https://www.meetup.com/23bshop/events/237310109/,xhjmwlywdbxb,Hacker Potluck++,Open Discussion,OPENCODING
6,https://www.meetup.com/NodeMelbourne/events/180675092/,180675092,May meetup,Talks by Domain Experts,OPENCODING
7,https://www.meetup.com/nycpython/events/120696492/,120696492,Lightning Talks Sprinting on CPython and a new Minimal Language Drinks Fun!,Talks by Domain Experts,OPENCODING
8,https://www.meetup.com/drupal-1/events/173400122/,173400122,Free Drupal Training and Install Workshop (Global Training Days),Hands-on Sessions,OPENCODING
9,https://www.meetup.com/indy-gdg/events/195252302/,dfrlggyslbzb,Android L Preview - SDK 20 APIs and Material Design Introduction,Talks by Domain Experts,OPENCODING
10,https://www.meetup.com/CocoaHeadsCOS/events/231573529/,231573529,WWDC Live @ KST: Day 5,Conferences,OPENCODING
11,https://www.meetup.com/Girl-Develop-It-Boise/events/223749614/,223749614,Intro to Programming with Python (6 hours class),Hands-on Sessions,OPENCODING
12,https://www.meetup.com/Vancouver-Tech-Co-Founders/events/218827424/,218827424,The Idea Bootcamp!,Hands-on Sessions,OPENCODING
13,https://www.meetup.com/Londonjavacommunity/events/228746825/,228746825,Online RAFFLE: 5 tickets Voxxed Days Bristol 2016 (25 February 2016),Conferences,OPENCODING
14,https://www.meetup.com/NE-MSFT-Devs/events/225808489/,225808489,Datazen: Dashboards KPIs and Maps for any Device,Talks by Domain Experts,OPENCODING
15,https://www.meetup.com/clj-syd/events/85246642/,85246642,(nth clj-syd 8),Open Discussion,OPENCODING
16,https://www.meetup.com/girldevelopit/events/223231330/,223231330,Intro to Git and GitHub,Hands-on Sessions,OPENCODING
17,https://www.meetup.com/Girl-Develop-It-Austin/events/184820342/,184820342,Diving in Deeper with HTML5 & CSS3,Hands-on Sessions,OPENCODING
18,https://www.meetup.com/IoTTexas/events/245567491/,245567491,US Ignite Gigabit Internet Application Challenge Event $20000 in Awards,Competitions,OPENCODING
19,https://www.meetup.com/cppmsg_cpp/events/244095148/,kpfzqnywnbhc,In-Person||Online Q&A Modern C++ Mentoring and Study Group-4th Wednesday-CppMSG,Open Discussion,OPENCODING
20,https://www.meetup.com/Dunedin-Gamedev-Meetup/events/234601849/,234601849,October Dunedin GameDev Meetup,Open Discussion,OPENCODING
21,https://www.meetup.com/owaspnyc/events/218702710/,218702710,2014 Review / 2015 Planning Session,Administrative Events,OPENCODING
22,https://www.meetup.com/Girl-Develop-It-CentralVA/events/234975241/,234975241,Lunch & Learn: Whiteboarding,Talks by Domain Experts,OPENCODING
23,https://www.meetup.com/gdg-melbourne/events/16937274/,16937274,March Meetup,Talks by Domain Experts,OPENCODING
24,https://www.meetup.com/Baton-Rouge-NET-and-SQL-Server-User-Groups/events/237421526/,237421526,March .NET and SQL Server Meeting,Talks by Domain Experts,OPENCODING
25,https://www.meetup.com/IMUG-Silicon-Valley/events/169351602/,qskhzdysqbxb,Annual IMUG International Potluck and Holiday Bash,Social Events,OPENCODING
26,https://www.meetup.com/founderscoders/events/235816225/,235816225,Founders and Coders Unofficial Meetup,Open Discussion,OPENCODING
27,https://www.meetup.com/Portland_SaaS/events/230320510/,230320510,Meet to discuss masterminds,Talks by Domain Experts,OPENCODING
28,https://www.meetup.com/Nashville-CocoaHeads/events/230811159/,230811159,An Apple a Day: Developing Apps with HealthKit,Talks by Domain Experts,OPENCODING
29,https://www.meetup.com/San-Francisco-Hackathons/events/197575472/,197575472,Hackathon to Develop Cloud-Aware App for Non-Profit,Competitions,OPENCODING
30,https://www.meetup.com/Columbus-Salesforce-Developer-Group/events/239457265/,wksqxmywhbwb,Columbus Salesforce Developers,Open Discussion,OPENCODING
31,https://www.meetup.com/Tokyo-Bitcoin-Meetup-Group/events/231489824/,gfkpjlyvjbfc,Tokyo Bitcoin Group 200th MeetUp,Social Events,OPENCODING
32,https://www.meetup.com/DevTank/events/13483973/,13483973,CouchDB Workshop,Hands-on Sessions,OPENCODING
33,https://www.meetup.com/MoedegruppeFunktionelleKoebenhavnere/events/245317659/,245317659,[HC/DIKU] Tweag.IO informal TGIF get-together,Talks by Domain Experts,OPENCODING
34,https://www.meetup.com/The-Software-Shack/events/244089549/,244089549,Blockchain and the IoT | Blockchain dans IIoT,Talks by Domain Experts,OPENCODING
35,https://www.meetup.com/OpenHack-DC/events/241235928/,bjjmtlywlbsb,OPEN HACK DC: Hack & Beer,Open Discussion,OPENCODING
36,https://www.meetup.com/SF-Data-Science/events/238783647/,238783647,Cognitive Builder Faire: San Francisco (4.21-4.23),Conferences,OPENCODING
37,https://www.meetup.com/chiPMA/events/42185732/,42185732,Greg Geracie -Three Tips to Improve Effectiveness as a Product Manager,Talks by Domain Experts,OPENCODING
38,https://www.meetup.com/Phoenix-ReactJS/events/247526250/,247526250,Experienced devs: TypeScript Event Emitters Streamlined Redux,Talks by Domain Experts,OPENCODING
39,https://www.meetup.com/San-Francisco-Microsoft-Data-Platform/events/74659362/,74659362,Red Gate SQL in the City,Talks by Domain Experts,OPENCODING
40,https://www.meetup.com/girldevelopitcbus/events/237881921/,swnknlywfbdc,GDI Hack Night Community Meetup,Open Discussion,OPENCODING
41,https://www.meetup.com/Strange-Group-Berlin/events/233378097/,233378097,Strange Group August,Talks by Domain Experts,OPENCODING
42,https://www.meetup.com/Boston-Software-Craftsmanship/events/230050856/,230050856,Playing with agent based models and emergent behavior,Hands-on Sessions,OPENCODING
43,https://www.meetup.com/Osaka-Web-Designers-and-Developers-Meetup/events/221648850/,221648850,Aprils web developer talks,Open Discussion,OPENCODING
44,https://www.meetup.com/supaproductpeninsula/events/195113422/,195113422,Live Broadcast: Anca Mosoiu Founder Tech Liminal Hacking Tech Communities,Talks by Domain Experts,OPENCODING
45,https://www.meetup.com/Girl-Develop-It-Austin/events/175908712/,175908712,Intro to Object-Oriented Programming with Java,Hands-on Sessions,OPENCODING
46,https://www.meetup.com/Code-for-Rockford/events/184151052/,dspmcjysjbsb,Code for Rockford OpenData Coding Session,Hands-on Sessions,OPENCODING
47,https://www.meetup.com/TriadShakeITup/events/248741359/,248741359,Join us for Shake IT Up of the Triad! RSVP for our next Meetup!,Social Events,OPENCODING
48,https://www.meetup.com/JavaScriptKC/events/241360759/,241360759,Functional Programming Fundamentals,Talks by Domain Experts,OPENCODING
