id,name,shortname,sort_name
1,Arts & Culture,Arts,Arts & Culture
18,Book Clubs,Book Clubs,Book Clubs
2,Career & Business,Business,Career & Business
3,Cars & Motorcycles,Auto,Cars & Motorcycles
4,Community & Environment,Community,Community & Environment
5,Dancing,Dancing,Dancing
6,Education & Learning,Education,Education & Learning
8,Fashion & Beauty,Fashion,Fashion & Beauty
9,Fitness,Fitness,Fitness
10,Food & Drink,Food & Drink,Food & Drink
11,Games,Games,Games
13,Movements & Politics,Movements,Movements & Politics
14,Health & Wellbeing,Well-being,Health & Wellbeing
15,Hobbies & Crafts,Crafts,Hobbies & Crafts
16,Language & Ethnic Identity,Languages,Language & Ethnic Identity
12,LGBT,LGBT,LGBT
17,Lifestyle,Lifestyle,Lifestyle
20,Movies & Film,Films,Movies & Film
21,Music,Music,Music
22,New Age & Spirituality,Spirituality,New Age & Spirituality
23,Outdoors & Adventure,Outdoors,Outdoors & Adventure
24,Paranormal,Paranormal,Paranormal
25,Parents & Family,Moms & Dads,Parents & Family
26,Pets & Animals,Pets,Pets & Animals
27,Photography,Photography,Photography
28,Religion & Beliefs,Beliefs,Religion & Beliefs
29,Sci-Fi & Fantasy,Sci fi,Sci-Fi & Fantasy
30,Singles,Singles,Singles
31,Socializing,Social,Socializing
32,Sports & Recreation,Sports,Sports & Recreation
33,Support,Support,Support
34,Tech,Tech,Tech
36,Writing,Writing,Writing
