category_ids,icon,name,photo,shortname,sort_name,topic
[1],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/a/highres_431404906.jpeg', 'photo_id': 431404906, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/a/600_431404906.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/a/thumb_431404906.jpeg'}",Arts,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/6/f/e/highres_312650942.jpeg', 'photo_id': 312650942, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/6/f/e/600_312650942.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/6/f/e/thumb_312650942.jpeg'}",arts-culture,Arts,"{'urlkey': 'art', 'name': 'Art', 'id': 1502}"
"[22, 24, 28]","{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/b/highres_431404907.jpeg', 'photo_id': 431404907, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/b/600_431404907.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/b/thumb_431404907.jpeg'}",Beliefs,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/1/2/highres_312650962.jpeg', 'photo_id': 312650962, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/1/2/600_312650962.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/1/2/thumb_312650962.jpeg'}",beliefs,Beliefs,"{'urlkey': 'spirituality', 'name': 'Spirituality', 'id': 10290}"
[18],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/3/5/0/d/highres_444733581.jpeg', 'photo_id': 444733581, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/3/5/0/d/600_444733581.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/3/5/0/d/thumb_444733581.jpeg'}",Book Clubs,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/3/2/a/0/highres_444732960.jpeg', 'photo_id': 444732960, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/3/2/a/0/600_444732960.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/3/2/a/0/thumb_444732960.jpeg'}",book-clubs,Book Clubs,"{'urlkey': 'literature', 'name': 'Literature', 'id': 15321}"
[2],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/e/highres_431404910.jpeg', 'photo_id': 431404910, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/e/600_431404910.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/e/thumb_431404910.jpeg'}",Career & Business,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/0/highres_312650992.jpeg', 'photo_id': 312650992, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/0/600_312650992.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/0/thumb_312650992.jpeg'}",career-business,Career & Business,"{'urlkey': 'business-networking', 'name': 'professional-networking', 'id': 15236}"
[5],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/0/highres_431404912.jpeg', 'photo_id': 431404912, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/0/600_431404912.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/0/thumb_431404912.jpeg'}",Dance,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/4/4/highres_312651012.jpeg', 'photo_id': 312651012, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/4/4/600_312651012.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/4/4/thumb_312651012.jpeg'}",dancing,Dance,"{'urlkey': 'dance', 'name': 'dancing', 'id': 491}"
[6],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/1/highres_431404913.jpeg', 'photo_id': 431404913, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/1/600_431404913.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/1/thumb_431404913.jpeg'}",Learning,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/a/4/b/c/highres_312942172.jpeg', 'photo_id': 312942172, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/a/4/b/c/600_312942172.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/a/4/b/c/thumb_312942172.jpeg'}",education,Learning,"{'urlkey': 'education', 'name': 'Education', 'id': 8476}"
[8],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/8/highres_448388600.jpeg', 'photo_id': 448388600, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/8/600_448388600.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/8/thumb_448388600.jpeg'}",Fashion & Beauty,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/2/highres_447879938.jpeg', 'photo_id': 447879938, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/2/600_447879938.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/2/thumb_447879938.jpeg'}",fashion-beauty,Fashion & Beauty,"{'urlkey': 'fashion', 'name': 'Fashion Industry', 'id': 1924}"
[20],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/a/highres_448388602.jpeg', 'photo_id': 448388602, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/a/600_448388602.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/a/thumb_448388602.jpeg'}",Film,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/1/highres_447879937.jpeg', 'photo_id': 447879937, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/1/600_447879937.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/1/thumb_447879937.jpeg'}",film,Film,"{'urlkey': 'movies', 'name': 'Watching Movies', 'id': 1201}"
[10],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/3/highres_431404915.jpeg', 'photo_id': 431404915, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/3/600_431404915.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/3/thumb_431404915.jpeg'}",Food & Drink,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/5/8/highres_312651032.jpeg', 'photo_id': 312651032, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/5/8/600_312651032.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/5/8/thumb_312651032.jpeg'}",food,Food & Drink,"{'urlkey': 'wine-and-food', 'name': 'wine-and-food-pairing', 'id': 19227}"
"[11, 29]","{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/5/highres_431404917.jpeg', 'photo_id': 431404917, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/5/600_431404917.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/5/thumb_431404917.jpeg'}",Sci-Fi & Games,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/6/2/highres_312651042.jpeg', 'photo_id': 312651042, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/6/2/600_312651042.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/6/2/thumb_312651042.jpeg'}",games-sci-fi,Sci-Fi & Games,"{'urlkey': 'games', 'name': 'Games', 'id': 15992}"
